gab,gh,gbb,gso,gslg,ghbp,gsf,gip,ger,hab,hh,hbb,hso,hslg,hhbp,hsf,hip,her,boxscore
35,9,2,9,0.371,0,1,8,10,33,12,8,10,0.424,0,2,9,2,/boxes/TBA/TBA201407120.shtml
29,4,4,10,0.241,0,0,8,9,35,13,3,6,0.686,0,1,9,1,/boxes/SDN/SDN201405090.shtml
36,12,2,5,0.583,0,3,9,4,36,11,1,7,0.389,0,0,9,7,/boxes/TBA/TBA201409030.shtml
44,14,8,9,0.773,0,0,11,10,46,16,5,6,0.565,0,0,11,12,/boxes/COL/COL201404230.shtml
38,13,3,8,0.632,0,0,9,0,35,9,1,9,0.286,1,0,9,7,/boxes/HOU/HOU201404300.shtml
31,4,3,6,0.258,0,0,8,1,33,9,3,2,0.273,0,0,9,2,/boxes/SFN/SFN201410070.shtml
40,15,2,7,0.4,0,0,9,3,31,5,5,10,0.387,0,0,9,5,/boxes/MIA/MIA201408030.shtml
38,12,6,5,0.553,0,1,9,11,42,16,7,7,0.643,0,0,9,11,/boxes/TEX/TEX201407290.shtml
30,5,5,11,0.3,1,0,9,1,33,8,0,10,0.303,0,0,9,3,/boxes/CHA/CHA201404170.shtml
30,4,3,16,0.2,1,0,8,6,30,6,4,9,0.533,0,0,9,2,/boxes/BOS/BOS201405030.shtml
36,8,2,7,0.361,0,0,9,2,31,6,3,4,0.29,2,1,9,4,/boxes/ANA/ANA201408080.shtml
35,8,3,8,0.314,0,0,9,2,32,6,1,7,0.344,0,0,9,5,/boxes/WAS/WAS201405170.shtml
31,4,5,3,0.161,0,0,8,10,41,20,3,6,0.707,0,0,9,0,/boxes/SDN/SDN201408010.shtml
38,11,5,3,0.474,0,0,9,4,32,6,3,10,0.375,0,0,9,7,/boxes/HOU/HOU201407290.shtml
34,9,5,8,0.412,0,1,8,10,38,16,2,6,0.737,0,0,9,3,/boxes/BAL/BAL201408090.shtml
32,9,0,4,0.406,1,0,9,0,31,6,3,4,0.226,0,0,9,1,/boxes/CHN/CHN201407270.shtml
34,9,2,8,0.412,0,0,9,3,33,7,6,7,0.333,0,0,9,4,/boxes/TOR/TOR201406280.shtml
35,10,11,5,0.429,0,0,9,1,32,6,4,7,0.219,0,0,9,11,/boxes/BAL/BAL201406080.shtml
29,5,2,9,0.31,1,1,9,1,34,6,0,4,0.235,0,0,9,4,/boxes/BAL/BAL201405120.shtml
